ident	civilite	cursus	tps_travail	nb_CM	apprentissage	tps_job	tps_loisirs	nb_rattrapages	niveau_global	memoire	orthographe	biostat_proba	biostat_info	reorientation	bien_etre	serenite_examens	interet_cours	filiere
Anonyme1	Monsieur	A1	2	0	tard	0	25	0	13	16	18	7	9	non	17	15	13	AC
Anonyme10	Madame	A1	10	10	tard	0	10	0	11	13	9	1	9	non	15	11	10	rurale
Anonyme100	Madame	BCPST	0	0	tard	5	14	0	15	20	19	5	5	non	20	19	18	mixte
Anonyme101	Madame	BCPST	5	10	intermediaire	0	6	0	10	15	17	12	8	non	10	8	12	mixte
Anonyme102	Madame	BCPST	8	20	intermediaire	0	13	0	7	15	18	5	10	non	19	15	15	mixte
Anonyme103	Madame	BCPST	8	20	tot	0	7	0	13	15	16	16	16	non	10	13	14	AC
Anonyme104	Madame	BCPST	15	10	intermediaire	0	6	1	14	14	18	17	17	non	10	8	12	mixte
Anonyme105	Monsieur	BCPST	35	17	tot	0	6	0	15	13	13	18	19	oui	15	8	14	AC
Anonyme106	Madame	BCPST	7	8	tard	0	5	2	5	8	19	2	10	oui	1	3	15	rurale
Anonyme107	Monsieur	BCPST	0	0	tard	3	20	0	15	18	19	16	17	non	19	18	15	AC
Anonyme108	Madame	BCPST	6	0	intermediaire	0	2	0	12	14	15	12	12	non	18	15	18	mixte
Anonyme109	Madame	BCPST	2	0	tard	4	8	0	10	8	18	12	10	non	20	10	15	AC
Anonyme11	Madame	Autre	19	15	intermediaire	0	4	0	0	7	18	8	10	oui	5	3	15	mixte
Anonyme110	Madame	BCPST	7	3	intermediaire	6	15	1	12	10	17	16	10	non	15	15	16	mixte
Anonyme111	Monsieur	BCPST	3	8	tard	0	5	0	14	14	18	15	16	non	12	17	13	mixte
Anonyme112	Madame	BCPST	10	0	intermediaire	5	20	0	15	15	20	12	15	non	20	18	10	mixte
Anonyme113	Madame	BCPST	20	15	intermediaire	12	6	2	8	3	16	12	13	non	5	2	17	mixte
Anonyme114	Madame	Autre	15	20	intermediaire	1	4	0	15	18	17	12	14	non	17	16	15	mixte
Anonyme115	Madame	Autre	18	0	intermediaire	4	5	0	15	12	17	2	2	non	17	12	14	mixte
Anonyme116	Madame	Autre	4	0	tard	5	24	2	10	10	13	8	4	non	15	9	14	mixte
Anonyme117	Madame	BCPST	8	20	tard	2	8	1	10	14	15	18	18	non	17	12	15	mixte
Anonyme118	Monsieur	BCPST	15	10	tot	0	15	0	6	7	18	19	19	non	15	13	12	rurale
Anonyme119	Madame	BCPST	15	20	tot	0	3	0	14	16	20	14	13	oui	15	15	19	autre
Anonyme12	Madame	A1	18	5	tot	0	5	0	13	14	18	8	8	non	14	13	13	AC
Anonyme120	Madame	BCPST	2	6	tard	0	10	1	9	14	13	6	12	non	5	10	14	mixte
Anonyme121	Madame	BCPST	8	0	tot	0	3	0	14	15	20	5	5	non	10	15	15	mixte
Anonyme122	Monsieur	BCPST	20	25	intermediaire	1	10	0	15	15	18	18	18	non	20	9	16	mixte
Anonyme123	Madame	BCPST	9	0	tard	2	13	2	13	17	19	13	15	non	15	10	12	mixte
Anonyme124	Monsieur	BCPST	4	20	intermediaire	0	10	1	8	4	12	19	19	non	20	15	10	mixte
Anonyme125	Monsieur	BCPST	10	20	intermediaire	0	5	0	10	10	16	10	12	oui	5	13	8	autre
Anonyme126	Madame	Autre	7	25	tot	7	2	1	10	15	18	13	11	non	10	6	16	mixte
Anonyme127	Monsieur	BCPST	4	0	intermediaire	3	10	2	13	12	13	13	15	non	15	14	11	mixte
Anonyme128	Madame	BCPST	0	0	tard	0	14	0	15	20	19	12	10	non	20	19	18	mixte
Anonyme129	Madame	BCPST	7	25	tot	4	6	2	5	0	15	0	10	oui	1	1	10	rurale
Anonyme13	Madame	A1	20	5	intermediaire	0	6	0	15	14	20	10	5	non	13	10	17	mixte
Anonyme130	Monsieur	BCPST	1	0	tard	0	21	0	10	10	20	15	18	non	20	18	18	equine
Anonyme131	Madame	BCPST	2	15	tard	0	3	0	10	12	18	10	12	non	8	11	12	autre
Anonyme132	Madame	Autre	17	20	intermediaire	3	6	0	12	15	19	10	10	non	10	12	17	equine
Anonyme133	Monsieur	BCPST	10	0	intermediaire	0	10	0	17	18	15	20	20	non	20	18	16	rurale
Anonyme134	Madame	BCPST	5	15	tard	4	8	0	12	16	15	15	16	non	17	15	18	mixte
Anonyme135	Madame	Autre	12	15	intermediaire	0	5	3	13	12	15	7	5	non	13	10	15	mixte
Anonyme136	Madame	BCPST	10	4	intermediaire	0	15	0	13	13	16	16	09	non	15	13	11	mixte
Anonyme137	Monsieur	BCPST	12	0	tot	0	12	0	12	14	19	15	10	non	18	15	15	mixte
Anonyme138	Madame	BCPST	10	20	tot	0	7	0	14	12	8	3	6	non	18	18	15	mixte
Anonyme139	Madame	BCPST	20	0	intermediaire	0	8	1	14	18	18	9	10	non	19	16	18	mixte
Anonyme14	Madame	A1	30	35	tot	10	10	0	15	18	19	13	10	non	10	10	20	AC
Anonyme140	Madame	Autre	10	5	tard	0	4	0	10	13	17	13	10	non	18	14	16	mixte
Anonyme141	Madame	BCPST	16	12	intermediaire	0	6	0	14	16	20	12	18	non	16	16	14	mixte
Anonyme142	Madame	BCPST	25	0	intermediaire	3	10	0	12	10	17	16	14	non	15	10	15	mixte
Anonyme143	Monsieur	BCPST	15	28	intermediaire	0	10	0	10	16	20	5	15	oui	18	14	8	autre
Anonyme144	Madame	BCPST	10	0	intermediaire	4	3	0	13	17	19	17	10	non	10	10	17	mixte
Anonyme145	Madame	Autre	6	18	intermediaire	2	12	1	14	14	12	14	10	non	12	16	18	mixte
Anonyme146	Monsieur	Autre	18	20	intermediaire	0	10	0	12	1	16	10	13	oui	13	16	11	AC
Anonyme147	Madame	Autre	4	10	intermediaire	7	3	0	10	12	14	9	9	oui	7	7	12	mixte
Anonyme148	Madame	BCPST	15	0	intermediaire	4	15	1	14	17	19	10	10	non	16	15	18	equine
Anonyme149	Madame	BCPST	10	10	intermediaire	3	1	1	10	10	12	5	10	non	17	12	16	AC
Anonyme15	Madame	A1	9	0	intermediaire	4	6	0	12	15	5	18	16	non	13	12	14	equine
Anonyme16	Monsieur	A1	2	0	tard	20	2	2	13	15	17	5	8	oui	8	14	17	rurale
Anonyme17	Monsieur	A1	10	25	intermediaire	4.5	15	3	8	13	19	13	15	non	12	10	15	autre
Anonyme18	Madame	A1	60	15	tot	0	5	0	12	15	20	10	5	oui	0	10	18	mixte
Anonyme19	Monsieur	A1	8	10	tard	0	15	0	12	16	19	5	8	non	16	10	18	mixte
Anonyme2	Madame	A1	10	20	intermediaire	4	6	0	12	12	14	10	10	non	10	6	18	rurale
Anonyme20	Madame	A1	10	10	intermediaire	0	10	0	10	16	19	6	5	non	17	15	18	equine
Anonyme21	Madame	A1	30	25	intermediaire	12	0	0	15	14	13	14	14	non	8	8	17	mixte
